Order_ID,Layer_Index,Product_ID,x,y,w,h,Quantity
1,0,2,0,0,95,58,10
1,0,5,0,58,116,38,8
1,0,0,95,0,19,58,2
1,1,4,0,0,58,57,6
1,1,12,0,57,80,26,2
1,1,13,80,48,40,52,2
1,1,8,74,0,46,30,2
1,1,9,58,0,15,46,1
1,1,9,73,30,46,15,1
1,2,1,0,0,95,29,5
1,2,0,95,0,19,58,2
1,2,3,62,58,58,38,4
1,2,6,0,48,39,52,2
1,2,5,0,29,58,19,2
1,2,16,63,29,32,21,1
1,2,17,39,48,21,32,1
1,3,7,0,0,39,52,2
1,3,10,0,52,40,26,1
1,3,18,0,78,32,21,1
1,3,19,32,78,32,21,1
1,3,11,39,0,40,26,1
1,3,14,39,26,40,26,1
1,3,15,40,52,40,26,1
1,3,0,79,0,19,29,1
2,0,0,0,0,78,52,4
2,0,8,78,0,42,66,4
2,0,9,36,66,84,33,4
2,0,20,0,52,35,46,2
2,1,5,0,0,78,52,4
2,1,10,78,0,42,66,4
2,1,18,0,52,50,48,6
2,1,17,50,52,25,48,3
2,1,11,75,66,42,32,2
2,2,13,0,0,32,84,4
2,2,22,0,84,46,15,1
2,2,21,32,0,69,35,3
2,2,1,46,61,52,39,2
2,2,12,98,36,21,64,2
2,2,14,32,35,64,21,2
2,2,17,101,0,16,25,1
2,3,6,0,0,39,52,2
2,3,20,0,52,70,23,2
2,3,16,0,75,38,25,1
2,3,19,38,75,35,23,1
2,3,2,39,0,39,26,1
2,3,3,39,26,39,26,1
2,3,15,78,0,40,27,1
2,3,4,78,27,39,26,1
2,3,7,73,53,39,26,1
3,0,0,0,0,78,78,6
3,0,13,78,0,42,66,4
3,0,12,78,66,42,33,2
3,0,20,0,78,75,17,3
3,1,10,0,0,78,78,6
3,1,21,78,0,34,100,8
3,1,14,0,78,66,21,2
3,2,0,0,0,39,52,2
3,2,2,0,52,78,26,2
3,2,8,39,0,39,52,2
3,2,10,78,0,39,52,2
3,2,15,78,52,40,27,1
3,2,21,0,78,50,17,2
3,2,20,50,78,25,17,1
3,3,16,0,0,27,40,1
3,3,17,0,40,40,27,1
3,3,18,27,0,27,40,1
3,3,19,0,67,40,27,1
3,3,1,40,40,39,26,1
3,3,3,54,0,26,39,1
3,3,4,79,39,39,26,1
3,3,5,79,65,39,26,1
3,3,6,40,66,39,26,1
3,3,7,80,0,39,26,1
3,4,9,0,0,39,26,1
3,4,11,39,0,39,26,1
4,0,16,0,0,92,70,8
4,0,10,0,70,102,25,6
4,0,11,102,0,17,100,4
4,1,22,0,0,72,72,16
4,1,15,72,0,46,70,4
4,1,25,72,70,46,15,1
4,1,12,0,72,70,23,2
4,2,2,0,0,66,63,6
4,2,24,66,0,54,72,12
4,2,3,0,63,63,33,3
4,2,13,63,72,35,23,1
4,2,20,98,72,18,18,1
4,3,4,0,0,64,63,6
4,3,17,0,63,92,35,4
4,3,3,64,0,33,63,3
4,3,14,97,0,23,70,2
4,3,20,92,70,18,18,1
4,4,5,0,0,64,42,4
4,4,6,64,0,32,63,3
4,4,15,96,0,23,70,2
4,4,21,42,63,54,36,6
4,4,7,0,42,64,21,2
4,4,0,0,63,42,33,2
4,4,20,96,70,18,18,1
4,5,18,0,0,33,44,2
4,5,19,0,44,46,31,1
4,5,1,0,75,66,21,2
4,5,20,33,0,54,18,3
4,5,17,33,18,35,23,1
4,5,7,46,41,21,32,1
4,5,8,66,73,32,21,1
4,5,9,67,41,21,32,1
4,5,26,68,18,32,21,1
4,5,23,98,64,18,36,2
5,0,1,0,0,78,78,6
5,0,5,0,78,120,21,4
5,0,0,78,0,39,78,3
5,1,4,0,0,66,66,6
5,1,2,0,66,88,34,4
5,1,3,88,37,32,63,3
5,1,5,66,6,21,60,2
5,1,4,87,0,22,33,1
5,2,0,0,0,39,52,2
5,2,1,0,52,39,26,1
5,2,3,0,78,32,21,1
6,0,1,0,0,70,46,4
6,0,2,70,0,46,70,4
6,0,13,28,70,92,30,4
6,0,3,0,46,70,23,2
6,0,0,0,69,17,26,1
6,1,4,0,0,70,46,4
6,1,5,70,0,46,70,4
6,1,14,28,70,92,30,4
6,1,3,0,46,70,23,2
6,1,0,0,69,17,26,1
6,2,6,0,0,70,46,4
6,2,7,70,0,46,70,4
6,2,8,0,46,69,35,3
6,2,10,0,81,90,18,5
6,2,0,90,70,26,17,1
6,3,9,0,0,70,46,4
6,3,16,70,0,26,80,2
6,3,12,30,80,90,18,5
6,3,8,96,0,23,70,2
6,3,2,0,65,23,35,1
6,3,0,0,46,26,17,1
6,3,15,26,46,40,26,1
6,4,17,0,0,40,52,2
6,4,3,0,52,35,23,1
6,4,4,0,75,35,23,1
6,4,5,35,52,35,23,1
6,4,9,35,75,35,23,1
6,4,11,40,0,18,18,1
6,4,12,58,0,18,18,1
7,0,31,0,0,92,70,8
7,0,1,0,70,119,29,7
7,0,19,92,0,23,70,2
7,1,32,0,0,92,70,8
7,1,34,92,0,22,99,3
7,1,20,0,70,70,23,2
7,1,0,70,70,19,29,1
7,2,5,0,0,96,63,9
7,2,34,96,0,22,99,3
7,2,20,0,63,92,35,4
7,3,22,0,0,70,69,6
7,3,35,70,0,44,99,6
7,3,21,0,69,70,23,2
7,4,30,0,0,70,69,6
7,4,18,0,69,80,27,2
7,4,3,80,1,21,99,3
7,4,0,101,0,19,29,1
7,4,1,101,29,17,29,1
7,5,9,0,0,64,63,6
7,5,10,0,63,84,32,4
7,5,23,84,31,35,69,3
7,5,13,64,0,40,27,1
7,6,25,0,0,35,69,3
7,6,26,0,69,70,23,2
7,6,3,70,1,21,99,3
7,6,27,35,0,35,46,2
7,6,21,35,46,35,23,1
7,6,4,91,0,21,96,3
7,7,11,0,0,32,63,3
7,7,12,0,63,63,32,3
7,7,28,32,0,46,35,2
7,7,14,32,35,40,27,1
7,7,29,72,35,46,35,2
7,7,2,78,0,42,33,2
7,7,15,63,70,40,27,1
7,8,33,0,0,35,46,2
7,8,6,0,46,64,21,2
7,8,7,35,0,64,21,2
7,8,8,99,0,21,64,2
7,8,24,97,64,23,35,1
7,8,16,72,24,27,40,1
7,8,32,35,21,35,23,1
7,8,17,0,67,40,27,1
8,0,6,0,0,78,78,6
8,0,1,78,0,39,78,3
8,0,30,0,78,90,18,5
8,0,20,90,78,28,18,1
8,1,20,0,0,84,72,12
8,1,21,0,72,90,28,5
8,1,27,84,0,35,69,3
8,1,20,90,69,18,28,1
8,2,28,0,0,70,46,4
8,2,17,70,0,27,80,2
8,2,24,97,0,23,70,2
8,2,20,97,70,18,28,1
8,2,31,25,80,72,18,4
8,2,22,0,65,23,35,1
8,2,9,23,47,42,33,2
8,2,29,0,46,18,18,1
8,3,0,0,0,39,52,2
8,3,21,0,52,54,28,3
8,3,10,39,0,42,33,2
8,3,20,39,33,28,18,1
8,3,14,54,51,40,27,1
8,3,1,81,0,39,26,1
8,3,18,81,26,38,25,1
8,3,32,94,51,26,40,1
8,3,11,54,78,32,21,1
8,3,29,0,80,18,18,1
8,3,30,18,80,18,18,1
8,4,15,0,0,27,40,1
8,4,16,0,40,40,27,1
8,4,33,27,0,26,40,1
8,4,34,0,67,40,26,1
8,4,35,40,40,40,26,1
8,4,2,53,0,26,39,1
8,4,3,40,66,39,26,1
8,4,4,79,66,39,26,1
8,4,5,80,40,39,26,1
8,4,7,79,0,39,26,1
8,5,8,0,0,39,26,1
8,5,19,39,0,38,25,1
8,5,12,77,0,21,32,1
8,5,13,98,0,21,32,1
8,5,23,39,25,35,23,1
8,5,25,74,32,23,35,1
8,5,26,0,26,35,23,1
8,5,27,35,48,35,23,1
9,0,0,0,0,78,78,6
9,0,3,78,0,39,78,3
9,0,7,0,78,66,21,2
9,0,6,66,78,34,22,1
9,1,15,0,0,70,69,6
