Order_ID,Product_ID,Quantity,L,W
1,0,5,29,19
1,1,5,29,19
1,2,10,29,19
1,3,4,29,19
1,4,6,29,19
1,5,10,29,19
1,6,2,39,26
1,7,2,39,26
1,8,2,46,15
1,9,2,46,15
1,10,1,40,26
1,11,1,40,26
1,12,2,40,26
1,13,2,40,26
1,14,1,40,26
1,15,1,40,26
1,16,1,32,21
1,17,1,32,21
1,18,1,32,21
1,19,1,32,21
2,0,4,39,26
2,1,2,39,26
2,2,1,39,26
2,3,1,39,26
2,4,1,39,26
2,5,4,39,26
2,6,2,39,26
2,7,1,39,26
2,8,4,33,21
2,9,4,33,21
2,10,4,33,21
2,11,2,32,21
2,12,2,32,21
2,13,4,32,21
2,14,2,32,21
2,15,1,40,27
2,16,1,38,25
2,17,4,25,16
2,18,6,25,16
2,19,1,35,23
2,20,4,35,23
2,21,3,35,23
2,22,1,46,15
3,0,8,39,26
3,1,1,39,26
3,2,2,39,26
3,3,1,39,26
3,4,1,39,26
3,5,1,39,26
3,6,1,39,26
3,7,1,39,26
3,8,2,39,26
3,9,1,39,26
3,10,8,39,26
3,11,1,39,26
3,12,2,33,21
3,13,4,33,21
3,14,2,33,21
3,15,1,40,27
3,16,1,40,27
3,17,1,40,27
3,18,1,40,27
3,19,1,40,27
3,20,4,25,17
3,21,10,25,17
4,0,2,33,21
4,1,2,33,21
4,2,6,33,21
4,3,6,33,21
4,4,6,32,21
4,5,4,32,21
4,6,3,32,21
4,7,3,32,21
4,8,1,32,21
4,9,1,32,21
4,10,6,25,17
4,11,4,25,17
4,12,2,35,23
4,13,1,35,23
4,14,2,35,23
4,15,6,35,23
4,16,8,35,23
4,17,5,35,23
4,18,2,33,22
4,19,1,46,31
4,20,6,18,18
4,21,6,18,18
4,22,16,18,18
4,23,2,18,18
4,24,12,18,18
4,25,1,46,15
4,26,1,32,21
5,0,5,39,26
5,1,7,39,26
5,2,4,34,22
5,3,4,32,21
5,4,7,33,22
5,5,6,30,21
6,0,4,26,17
6,1,4,35,23
6,2,5,35,23
6,3,5,35,23
6,4,5,35,23
6,5,5,35,23
6,6,4,35,23
6,7,4,35,23
6,8,5,35,23
6,9,5,35,23
6,10,5,18,18
6,11,1,18,18
6,12,6,18,18
6,13,4,46,15
6,14,4,46,15
6,15,1,40,26
6,16,2,40,26
6,17,2,40,26
7,0,2,29,19
7,1,8,29,17
7,2,2,33,21
7,3,6,33,21
7,4,3,32,21
7,5,9,32,21
7,6,2,32,21
7,7,2,32,21
7,8,2,32,21
7,9,6,32,21
7,10,4,32,21
7,11,3,32,21
7,12,3,32,21
7,13,1,40,27
7,14,1,40,27
7,15,1,40,27
7,16,1,40,27
7,17,1,40,27
7,18,2,40,27
7,19,2,35,23
7,20,6,35,23
7,21,3,35,23
7,22,6,35,23
7,23,3,35,23
7,24,1,35,23
7,25,3,35,23
7,26,2,35,23
7,27,2,35,23
7,28,2,35,23
7,29,2,35,23
7,30,6,35,23
7,31,8,35,23
7,32,9,35,23
7,33,2,35,23
7,34,6,33,22
7,35,6,33,22
8,0,2,39,26
8,1,4,39,26
8,2,1,39,26
8,3,1,39,26
8,4,1,39,26
8,5,1,39,26
8,6,6,39,26
8,7,1,39,26
8,8,1,39,26
8,9,2,33,21
8,10,2,33,21
8,11,1,32,21
8,12,1,32,21
8,13,1,32,21
8,14,1,40,27
8,15,1,40,27
8,16,1,40,27
8,17,2,40,27
8,18,1,38,25
8,19,1,38,25
8,20,16,28,18
8,21,8,28,18
8,22,1,35,23
8,23,1,35,23
8,24,2,35,23
8,25,1,35,23
8,26,1,35,23
8,27,4,35,23
8,28,4,35,23
8,29,2,18,18
8,30,6,18,18
8,31,4,18,18
8,32,1,40,26
8,33,1,40,26
8,34,1,40,26
8,35,1,40,26
9,0,6,39,26
9,1,1,39,26
9,2,1,39,26
9,3,3,39,26
9,4,3,39,26
9,5,4,39,26
9,6,1,34,22
9,7,2,33,21
9,8,2,32,21
9,9,4,32,21
9,10,1,32,21
9,11,1,40,27
9,12,2,35,23
9,13,2,35,23
9,14,4,35,23
9,15,6,35,23
9,16,1,35,23
9,17,2,35,23
10,0,2,39,29
10,1,2,39,29
10,2,2,39,26
10,3,6,39,26
10,4,2,39,26
10,5,2,39,26
10,6,6,39,26
10,7,1,39,26
10,8,6,39,26
10,9,6,39,26
10,10,4,39,26
10,11,1,39,26
10,12,1,39,26
10,13,2,39,26
10,14,2,39,26
10,15,6,39,26
10,16,2,39,26
11,0,7,39,26
11,1,2,39,26
11,2,1,39,26
11,3,6,39,26
11,4,2,39,26
11,5,1,39,26
11,6,1,39,26
11,7,1,39,26
11,8,1,39,26
11,9,2,39,26
11,10,2,39,26
11,11,1,34,22
11,12,2,32,21
11,13,1,40,27
11,14,1,40,27
11,15,1,40,27
11,16,1,40,27
11,17,1,40,27
11,18,1,25,17
11,19,1,46,15
11,20,1,46,15
11,21,1,40,26
11,22,1,40,26
11,23,1,40,26
11,24,1,40,26
11,25,2,32,21
12,0,1,39,26
12,1,1,39,26
12,2,2,39,26
12,3,2,39,26
12,4,1,39,26
12,5,1,39,26
12,6,1,39,26
12,7,1,39,26
12,8,10,29,23
12,9,1,40,27
12,10,1,40,27
12,11,1,40,27
12,12,1,40,27
12,13,1,40,27
12,14,2,40,27
12,15,1,40,27
12,16,10,25,16
12,17,10,25,16
12,18,2,25,16
13,0,5,39,26
13,1,2,39,26
13,2,1,39,26
13,3,2,39,26
13,4,1,39,26
13,5,4,39,26
13,6,2,39,26
13,7,4,39,26
13,8,1,39,26
13,9,1,39,26
13,10,6,29,23
13,11,6,29,23
13,12,4,38,25
13,13,1,38,25
13,14,1,25,17
13,15,2,25,17
13,16,2,46,15
13,17,3,46,15
14,0,1,39,26
14,1,6,39,26
14,2,4,39,26
14,3,2,39,26
14,4,1,39,26
14,5,1,39,26
14,6,1,39,26
14,7,1,34,22
14,8,2,32,21
14,9,1,32,21
14,10,2,25,16
14,11,4,25,16
14,12,6,35,23
14,13,1,35,23
14,14,1,35,23
14,15,1,35,23
14,16,2,35,23
14,17,3,35,23
14,18,2,35,23
14,19,1,35,23
14,20,1,35,23
14,21,2,33,22
14,22,2,33,22
15,0,5,39,29
15,1,1,39,26
15,2,3,39,26
15,3,10,34,22
15,4,2,38,25
15,5,5,35,23
15,6,6,18,18
16,0,2,39,26
16,1,4,39,26
16,2,4,39,26
16,3,10,28,18
16,4,4,25,16
16,5,10,24,16
16,6,6,25,16
16,7,6,18,18
16,8,6,18,18
16,9,6,18,18
16,10,6,18,18
17,0,1,39,26
17,1,3,39,26
17,2,1,39,26
17,3,1,39,26
17,4,1,32,21
17,5,3,40,27
17,6,1,35,23
17,7,3,35,23
18,0,2,39,26
18,1,3,39,26
18,2,5,39,26
18,3,6,39,26
18,4,5,39,26
18,5,2,39,26
18,6,5,39,26
18,7,8,39,26
18,8,8,39,26
18,9,2,35,23
18,10,4,35,23
19,0,1,40,27
19,1,1,40,27
