Order_ID,Liquid_Filling,Amount_of_Layers
1,4.0,5
2,4.0,7
3,4.0,7
4,6.0,9
5,3.0,4
6,5.0,7
7,8.0,13
8,6.0,9
9,4.0,6
10,5.0,7
11,4.0,6
12,3.0,5
13,4.0,6
14,4.0,6
15,3.0,5
16,3.0,5
17,2.0,3
18,5.0,7
19,1.0,2
20,3.0,7
21,6.0,9
22,6.0,10
23,7.0,11
24,5.0,9
25,3.0,6
26,6.0,9
27,5.0,7
28,3.0,4
29,3.0,5
30,6.0,9
31,4.0,6
32,4.0,7
33,5.0,10
34,3.0,5
35,5.0,7
37,4.0,7
38,7.0,11
39,4.0,5
40,4.0,7
41,5.0,9
42,3.0,5
43,1.0,2
45,3.0,5
46,4.0,7
47,5.0,7
48,3.0,5
49,4.0,6
50,6.0,10
51,3.0,5
52,3.0,5
53,4.0,6
54,6.0,9
55,4.0,6
56,5.0,7
57,5.0,7
58,3.0,7
59,2.0,4
60,4.0,6
61,5.0,8
62,2.0,5
63,4.0,6
64,4.0,7
65,8.0,12
66,5.0,8
67,4.0,8
68,4.0,7
69,4.0,7
70,5.0,8
71,7.0,11
72,3.0,6
73,4.0,6
74,3.0,5
75,6.0,8
76,3.0,5
77,6.0,10
78,7.0,11
79,1.0,2
81,2.0,3
82,4.0,7
83,5.0,9
84,3.0,5
85,3.0,4
86,5.0,7
87,4.0,7
88,4.0,7
89,4.0,6
90,3.0,7
92,5.0,8
93,7.0,10
94,6.0,11
95,3.0,6
96,4.0,5
97,1.0,2
98,5.0,8
99,4.0,7
100,4.0,7
101,3.0,6
102,4.0,7
103,4.0,7
104,4.0,7
105,3.0,6
106,4.0,7
107,3.0,4
108,3.0,5
109,3.0,6
110,3.0,5
111,4.0,6
112,5.0,8
113,5.0,7
114,7.0,11
115,6.0,9
116,3.0,6
117,4.0,5
118,3.0,6
119,5.0,8
120,6.0,9
121,4.0,6
122,2.0,3
123,4.0,7
124,2.0,3
125,4.0,7
126,7.0,11
127,4.0,7
128,4.0,8
129,3.0,4
130,5.0,8
132,2.0,2
133,8.0,12
134,3.0,7
135,4.0,7
136,3.0,4
137,6.0,8
138,3.0,5
139,4.0,6
140,4.0,7
141,4.0,6
142,4.0,6
143,5.0,8
144,4.0,7
145,4.0,7
146,6.0,9
147,3.0,6
148,2.0,3
149,2.0,3
150,6.0,10
151,2.0,3
152,5.0,9
153,4.0,7
154,5.0,7
155,4.0,9
156,4.0,7
157,4.0,7
158,6.0,9
159,4.0,7
160,5.0,7
161,5.0,8
162,5.0,8
163,2.0,4
165,6.0,9
166,4.0,7
167,4.0,6
168,3.0,4
169,5.0,8
170,4.0,7
171,3.0,6
172,6.0,9
173,5.0,8
174,3.0,5
175,6.0,11
176,4.0,7
177,3.0,5
178,5.0,10
179,4.0,7
180,2.0,4
181,2.0,4
182,2.0,3
183,6.0,10
184,4.0,7
185,2.0,2
186,7.0,11
187,5.0,8
188,4.0,7
189,4.0,6
190,3.0,6
191,5.0,8
192,5.0,7
193,6.0,9
194,3.0,5
195,4.0,5
196,2.0,4
197,4.0,8
198,3.0,6
199,3.0,6
200,2.0,3
201,3.0,5
202,5.0,8
203,6.0,10
204,3.0,4
205,3.0,5
206,5.0,7
207,3.0,6
208,4.0,8
209,4.0,7
210,3.0,6
211,6.0,8
212,3.0,5
213,5.0,7
214,5.0,9
215,6.0,10
216,2.0,3
217,6.0,9
218,6.0,10
219,5.0,9
220,4.0,7
221,5.0,9
222,5.0,9
223,4.0,7
224,5.0,8
225,4.0,6
226,3.0,5
227,4.0,7
228,4.0,7
229,4.0,5
230,4.0,6
232,4.0,8
233,5.0,7
234,4.0,6
235,4.0,7
236,5.0,8
238,5.0,7
239,3.0,4
240,5.0,9
241,3.0,6
242,4.0,7
243,3.0,6
244,3.0,6
245,5.0,9
246,5.0,8
247,5.0,8
248,4.0,5
249,5.0,9
250,5.0,7
251,4.0,5
252,4.0,7
254,3.0,5
255,4.0,7
256,6.0,9
257,9.0,12
258,3.0,5
259,5.0,9
260,8.0,9
261,4.0,6
262,4.0,5
263,4.0,7
264,3.0,5
265,4.0,8
266,5.0,7
267,5.0,8
268,5.0,8
270,6.0,9
271,2.0,3
272,3.0,6
273,4.0,6
274,4.0,6
275,6.0,10
276,3.0,5
277,4.0,6
278,5.0,10
279,3.0,5
280,8.0,12
281,4.0,7
282,2.0,4
283,6.0,10
284,4.0,6
285,6.0,11
286,4.0,8
287,4.0,7
288,4.0,7
289,3.0,6
290,5.0,7
291,2.0,4
292,5.0,9
293,4.0,6
295,2.0,3
296,3.0,5
297,7.0,11
298,4.0,8
299,3.0,5
300,6.0,9
301,5.0,7
302,4.0,7
303,4.0,7
304,4.0,6
305,3.0,5
306,6.0,9
307,3.0,6
308,4.0,5
309,6.0,10
310,2.0,4
311,6.0,8
312,2.0,4
313,4.0,6
314,3.0,4
316,6.0,10
317,3.0,6
318,5.0,9
319,4.0,7
320,3.0,5
321,5.0,7
322,5.0,7
323,8.0,13
324,4.0,8
325,4.0,7
326,3.0,5
327,4.0,7
328,4.0,7
329,4.0,6
330,3.0,4
331,5.0,8
332,4.0,7
333,3.0,6
334,5.0,10
335,6.0,9
336,4.0,8
337,3.0,5
339,2.0,5
340,5.0,8
341,6.0,10
342,8.0,11
343,4.0,8
344,5.0,8
345,4.0,7
346,3.0,5
347,5.0,9
348,5.0,8
349,4.0,5
350,3.0,6
351,4.0,6
352,3.0,6
353,1.0,2
354,5.0,8
355,6.0,11
356,5.0,8
357,9.0,13
358,3.0,5
359,4.0,6
360,2.0,3
361,4.0,6
362,4.0,6
363,3.0,5
364,3.0,6
365,5.0,8
366,5.0,9
367,6.0,10
368,4.0,8
369,4.0,6
370,4.0,5
371,6.0,9
372,4.0,6
373,5.0,8
375,3.0,5
377,6.0,9
378,5.0,8
379,6.0,8
380,5.0,7
381,5.0,6
382,4.0,8
383,4.0,7
384,5.0,8
385,4.0,8
386,4.0,7
387,5.0,8
388,6.0,9
389,4.0,7
391,4.0,7
392,5.0,7
393,2.0,4
394,6.0,8
395,1.0,3
396,4.0,7
397,6.0,9
398,5.0,7
399,3.0,7
400,4.0,7
401,5.0,10
402,4.0,7
403,4.0,5
404,2.0,2
405,5.0,8
406,4.0,6
407,6.0,10
408,5.0,7
409,6.0,9
410,3.0,5
411,4.0,6
412,7.0,10
413,3.0,6
414,2.0,4
415,5.0,8
416,5.0,8
417,4.0,6
418,3.0,4
419,7.0,10
420,5.0,8
421,4.0,7
422,7.0,11
423,3.0,6
424,4.0,7
425,4.0,8
426,4.0,7
427,4.0,7
428,5.0,8
429,3.0,4
431,3.0,5
432,3.0,6
433,5.0,9
434,4.0,7
435,4.0,8
436,6.0,10
437,1.0,2
438,3.0,5
439,4.0,7
440,4.0,5
441,3.0,5
442,2.0,4
443,4.0,7
444,7.0,10
445,3.0,6
446,3.0,4
447,5.0,7
448,1.0,2
449,1.0,2
450,4.0,7
451,4.0,7
452,4.0,7
453,3.0,6
454,2.0,4
455,6.0,10
456,4.0,6
457,5.0,9
458,3.0,4
459,3.0,6
460,4.0,8
461,4.0,6
462,5.0,9
464,4.0,7
465,5.0,8
466,3.0,4
467,4.0,7
468,3.0,5
469,3.0,6
470,3.0,5
471,2.0,4
472,4.0,7
473,3.0,6
474,1.0,2
475,3.0,5
476,4.0,7
477,3.0,5
478,6.0,9
479,3.0,5
480,7.0,11
481,3.0,4
482,4.0,8
483,3.0,5
484,4.0,5
485,3.0,5
486,4.0,7
487,5.0,8
488,4.0,7
489,4.0,7
490,5.0,7
491,3.0,5
492,2.0,4
493,4.0,6
494,3.0,6
495,1.0,1
496,6.0,10
497,5.0,7
498,3.0,4
499,5.0,7
500,5.0,7
501,4.0,7
502,4.0,8
503,6.0,8
504,5.0,8
505,5.0,7
506,3.0,5
507,3.0,4
508,3.0,5
509,6.0,10
510,4.0,6
511,3.0,6
513,7.0,12
515,5.0,8
516,6.0,10
517,2.0,4
518,4.0,7
519,2.0,3
520,5.0,8
521,3.0,5
522,5.0,11
523,4.0,8
524,1.0,2
525,2.0,3
526,4.0,7
527,3.0,5
528,6.0,9
529,8.0,11
530,3.0,6
531,2.0,4
532,5.0,8
533,5.0,8
534,4.0,6
535,5.0,9
537,5.0,9
538,3.0,4
539,3.0,5
540,7.0,11
541,5.0,9
542,4.0,7
543,4.0,7
544,4.0,7
545,4.0,7
546,3.0,4
547,5.0,8
548,4.0,6
549,4.0,7
550,5.0,7
551,3.0,4
553,5.0,8
554,5.0,8
555,7.0,11
556,4.0,7
557,3.0,6
558,6.0,9
559,6.0,9
560,6.0,8
561,4.0,5
562,4.0,7
563,4.0,6
564,3.0,4
565,4.0,7
566,2.0,3
567,6.0,10
568,4.0,7
569,4.0,6
570,5.0,9
571,1.0,2
572,3.0,5
574,3.0,4
575,5.0,7
576,4.0,8
577,5.0,8
578,2.0,3
579,2.0,2
580,5.0,8
581,6.0,9
582,4.0,6
583,2.0,4
584,3.0,6
585,2.0,4
586,5.0,7
587,7.0,11
588,3.0,6
589,5.0,7
590,3.0,4
591,6.0,10
593,3.0,6
594,4.0,6
595,3.0,4
596,4.0,7
597,6.0,10
598,3.0,4
599,7.0,10
600,4.0,8
601,2.0,4
602,5.0,8
603,4.0,6
604,5.0,8
605,3.0,4
606,5.0,7
607,6.0,9
608,4.0,7
609,3.0,5
610,4.0,7
611,5.0,7
612,6.0,9
613,3.0,7
614,4.0,8
615,1.0,2
616,4.0,7
617,5.0,8
618,2.0,3
619,4.0,6
620,2.0,2
621,5.0,8
622,6.0,9
623,2.0,3
624,4.0,7
625,3.0,5
626,5.0,8
627,6.0,9
628,4.0,6
629,4.0,6
630,5.0,8
631,2.0,3
632,3.0,7
633,6.0,11
634,3.0,5
635,3.0,4
636,4.0,6
637,4.0,7
638,3.0,6
639,5.0,9
641,5.0,9
642,3.0,5
643,3.0,5
644,3.0,5
645,4.0,6
646,7.0,11
647,5.0,9
648,4.0,6
649,3.0,5
650,3.0,5
652,4.0,6
653,4.0,7
654,4.0,5
655,3.0,5
656,4.0,7
657,3.0,5
658,5.0,10
659,5.0,8
660,4.0,6
661,2.0,4
662,6.0,9
663,3.0,5
664,4.0,7
665,1.0,1
666,6.0,11
667,4.0,6
668,3.0,6
670,3.0,5
671,2.0,5
672,6.0,10
673,3.0,5
675,3.0,5
676,4.0,7
677,4.0,8
678,2.0,4
679,3.0,6
680,4.0,8
681,4.0,7
682,4.0,6
683,2.0,3
684,7.0,10
685,5.0,8
686,5.0,9
687,5.0,8
688,5.0,8
689,3.0,6
690,3.0,7
691,5.0,9
692,4.0,7
693,5.0,7
695,3.0,5
696,6.0,9
697,9.0,13
698,7.0,10
699,5.0,8
700,2.0,4
703,4.0,6
704,4.0,7
705,4.0,7
706,5.0,9
707,6.0,10
708,5.0,10
709,5.0,10
710,6.0,10
711,3.0,5
712,3.0,6
713,3.0,5
714,6.0,10
715,3.0,5
716,6.0,8
717,3.0,6
718,6.0,8
720,5.0,7
721,7.0,11
722,4.0,6
723,5.0,8
724,4.0,4
725,6.0,9
726,5.0,8
728,3.0,5
730,3.0,6
731,3.0,5
732,4.0,6
733,4.0,7
734,5.0,10
735,3.0,5
736,4.0,8
737,4.0,6
738,5.0,9
739,4.0,8
740,4.0,6
741,4.0,7
742,4.0,7
743,4.0,6
744,5.0,8
745,3.0,6
746,3.0,5
747,5.0,7
748,4.0,6
749,5.0,9
750,4.0,6
751,2.0,4
752,7.0,11
753,4.0,7
754,4.0,6
756,4.0,6
757,3.0,4
758,4.0,7
759,4.0,7
760,4.0,7
761,4.0,7
762,5.0,8
763,2.0,3
764,3.0,6
765,5.0,8
766,4.0,6
767,3.0,5
768,4.0,7
770,3.0,6
772,5.0,9
773,5.0,9
774,6.0,9
775,4.0,7
776,3.0,4
777,4.0,8
778,5.0,8
779,4.0,7
780,5.0,8
781,4.0,6
782,3.0,5
783,3.0,4
784,4.0,7
785,3.0,5
787,3.0,5
789,5.0,7
790,4.0,6
791,3.0,6
792,4.0,8
793,3.0,4
794,2.0,3
795,2.0,3
796,6.0,8
797,3.0,4
798,4.0,7
799,5.0,7
800,2.0,2
801,4.0,7
802,4.0,6
803,4.0,6
804,3.0,5
805,5.0,10
806,3.0,4
807,6.0,9
808,3.0,6
809,4.0,7
810,4.0,6
811,5.0,8
812,5.0,8
813,3.0,5
814,5.0,8
815,3.0,5
816,4.0,7
818,2.0,4
819,4.0,7
820,4.0,7
821,5.0,7
822,3.0,5
823,4.0,7
824,5.0,9
825,5.0,8
826,5.0,7
827,4.0,7
828,3.0,4
829,4.0,6
830,6.0,10
831,4.0,5
832,6.0,10
833,3.0,5
834,6.0,9
835,4.0,6
836,6.0,10
838,5.0,7
839,4.0,7
840,5.0,9
841,6.0,9
842,4.0,6
843,5.0,8
844,4.0,6
845,6.0,9
846,2.0,4
847,3.0,5
849,4.0,7
850,3.0,5
851,4.0,7
852,4.0,5
853,4.0,7
854,4.0,8
855,4.0,7
856,5.0,7
857,4.0,7
858,3.0,4
859,2.0,4
860,4.0,7
862,4.0,7
863,4.0,6
864,5.0,8
865,7.0,9
866,5.0,9
867,5.0,9
868,3.0,6
869,6.0,8
870,5.0,8
871,5.0,8
872,6.0,7
873,3.0,5
874,4.0,6
875,3.0,6
876,4.0,6
877,7.0,11
878,4.0,6
879,4.0,6
880,4.0,7
881,3.0,5
882,3.0,5
884,6.0,10
885,3.0,5
886,4.0,5
887,3.0,4
888,9.0,13
889,3.0,4
890,3.0,5
891,2.0,3
892,3.0,6
893,5.0,7
894,7.0,10
895,5.0,9
896,5.0,7
897,4.0,6
898,4.0,8
899,3.0,5
900,4.0,6
901,5.0,9
902,3.0,5
903,4.0,7
904,4.0,7
905,3.0,5
906,4.0,7
907,3.0,7
908,3.0,6
909,4.0,7
910,5.0,8
911,3.0,5
912,3.0,5
913,5.0,8
914,3.0,4
915,3.0,4
916,3.0,5
917,4.0,7
918,5.0,9
919,6.0,9
920,2.0,4
921,5.0,9
922,3.0,6
923,6.0,8
924,4.0,8
925,3.0,7
926,5.0,7
928,1.0,2
930,5.0,8
931,3.0,5
932,3.0,5
933,4.0,6
934,4.0,6
935,4.0,8
936,3.0,4
937,6.0,8
938,4.0,8
939,4.0,6
940,2.0,5
941,7.0,12
942,3.0,6
943,5.0,6
944,1.0,2
945,4.0,6
946,4.0,6
947,3.0,6
948,4.0,7
949,5.0,7
950,5.0,8
